里程數,公路編,經度,緯度,E,N,工程處,工務段,日期,縣市別,鄉鎮區,村里,備註
0026K+100,台7線,121.35783800000,24.76932200000,286187.46600000001,2740274.99299999978,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0026K+200,台7線,121.35710200000,24.76874400000,286113.20199999999,2740210.77900000010,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0026K+300,台7線,121.35619500000,24.76840800000,286021.57500000001,2740173.32500000019,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0026K+400,台7線,121.35530200000,24.76825400000,285931.31000000000,2740156.03299999982,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0026K+500,台7線,121.35468100000,24.76876200000,285868.36300000001,2740212.13599999994,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0026K+600,台7線,121.35377400000,24.76882500000,285776.62000000000,2740218.87600000016,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0026K+700,台7線,121.35285700000,24.76868800000,285683.92400000000,2740203.46299999999,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0026K+800,台7線,121.35220900000,24.76804500000,285618.57600000000,2740132.07500000019,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0026K+900,台7線,121.35136900000,24.76757400000,285533.76100000000,2740079.68899999978,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0027K+000,台7線,121.35056500000,24.76705600000,285452.59899999999,2740022.10699999984,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0027K+100,台7線,121.34974000000,24.76656200000,285369.30599999998,2739967.17799999984,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0027K+200,台7線,121.34910900000,24.76588000000,285305.68500000000,2739891.47699999996,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0027K+300,台7線,121.34967100000,24.76527400000,285362.69300000003,2739824.50100000016,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0027K+400,台7線,121.35001700000,24.76447100000,285397.91200000001,2739735.65100000007,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0027K+500,台7線,121.34953500000,24.76370900000,285349.38199999998,2739651.12699999986,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0027K+600,台7線,121.34905200000,24.76295400000,285300.74800000002,2739567.37900000019,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0027K+700,台7線,121.34849500000,24.76221500000,285244.62400000001,2739485.38400000008,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0027K+800,台7線,121.34806400000,24.76141800000,285201.26000000001,2739396.99800000014,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0027K+900,台7線,121.34719600000,24.76099300000,285113.59399999998,2739349.70200000005,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0028K+000,台7線,121.34626000000,24.76070800000,285019.01100000000,2739317.89500000002,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0028K+100,台7線,121.34531200000,24.76051600000,284923.18800000002,2739296.38700000010,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0028K+200,台7線,121.34433200000,24.76054100000,284824.06800000003,2739298.90599999996,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
